# D_1  D_2  D_3  D_4  D_5  Sigma_a_1  Sigma_a_2  Sigma_a_3  Sigma_a_4  Sigma_a_5  q_1  q_2  q_3  q_4  q_5
3.078836e-01 1.273555e+00 1.232499e+00 6.928699e-01 1.636395e+00 8.187842e-01 8.770775e-01 7.911943e-01 2.723319e-01 6.943230e-01 1.407945e+00 4.284222e-01 9.798681e-01 6.803103e-01 1.550010e+00
7.722659e-01 3.509490e-01 7.127996e-01 1.166230e+00 1.041958e+00 1.300119e-01 7.047675e-01 5.306817e-01 5.239935e-01 3.197939e-01 1.348107e-01 1.094439e+00 3.948560e-01 4.703927e-01 1.125129e+00
1.944262e+00 2.916810e-01 1.147856e+00 1.926334e+00 1.586289e+00 4.986073e-01 5.093913e-01 2.252705e-01 2.131125e-01 8.377745e-02 3.461664e-01 1.478428e+00 1.836929e-01 1.762977e+00 1.869558e+00
1.878673e+00 2.078761e-01 3.777821e-01 1.622086e+00 2.338161e-01 6.095245e-01 6.721758e-01 4.905031e-01 8.471148e-01 9.084089e-01 1.469170e+00 1.750174e+00 1.083850e+00 4.911895e-01 1.564644e+00
7.494127e-01 1.784593e+00 1.592616e+00 1.578666e+00 8.615132e-01 9.435450e-01 5.270406e-01 5.907069e-01 1.384036e-01 8.537097e-01 4.068595e-01 4.673978e-01 1.876922e+00 1.317466e+00 4.943757e-01
8.354450e-01 1.506673e+00 1.387618e+00 1.652023e+00 1.047788e+00 5.330898e-01 7.172465e-01 9.055310e-01 7.668685e-01 3.587294e-01 9.818448e-01 6.688952e-01 6.637773e-01 1.829944e+00 5.829124e-01
7.489626e-01 1.088440e+00 1.028035e+00 1.992782e+00 8.257715e-01 2.913490e-01 4.100058e-01 1.181804e-01 7.371036e-01 2.578958e-01 2.791897e-01 2.441292e-01 1.385550e+00 1.941121e+00 4.679261e-01
1.265269e+00 6.587885e-01 7.399574e-01 1.619478e+00 1.620598e+00 4.099807e-01 8.450424e-01 5.653377e-01 5.043755e-02 8.724324e-01 6.715399e-01 1.681014e+00 4.481096e-01 1.956338e-01 1.162020e+00
1.103906e+00 3.335794e-01 8.456189e-01 8.695510e-01 2.164217e-01 4.019599e-01 2.999813e-01 4.742960e-01 9.414725e-01 9.957896e-01 1.756991e+00 1.310205e+00 1.461057e+00 1.508589e+00 1.746689e+00
2.767227e-01 6.396993e-01 3.431979e-01 1.717195e+00 9.836907e-01 5.269571e-01 7.095557e-01 5.344537e-01 8.635766e-01 9.924237e-01 1.882224e+00 1.933587e+00 1.367057e+00 1.549399e+00 1.989666e+00
1.611566e+00 1.257499e+00 8.321751e-01 7.137690e-01 1.470637e+00 7.852512e-01 7.366605e-01 3.061055e-01 8.893008e-01 1.132697e-01 1.196362e+00 1.318482e+00 1.400569e+00 4.957654e-01 2.651694e-03
6.969797e-01 1.155021e+00 9.102212e-01 1.013454e+00 1.845757e+00 7.899949e-01 9.151946e-01 1.895745e-01 5.133065e-01 3.777919e-01 5.550837e-01 1.030408e+00 1.015133e+00 3.650398e-01 7.663760e-01
1.718374e+00 1.408716e+00 4.029430e-01 6.676402e-01 9.295761e-01 1.858621e-01 6.619758e-01 7.755131e-01 1.083842e-01 8.062913e-01 1.644901e+00 1.893908e-01 7.457775e-01 1.481766e+00 6.082861e-01
1.215687e+00 8.124845e-01 3.504156e-01 7.317392e-01 1.819158e+00 7.280426e-01 5.223214e-01 1.012384e-01 4.056427e-01 8.505561e-01 6.800605e-01 1.906967e+00 1.087205e+00 1.935477e+00 2.854583e-01
2.958874e-01 7.767312e-01 1.670465e+00 2.137622e-01 5.359767e-01 1.836382e-01 3.330573e-01 7.702120e-01 4.131677e-01 2.750613e-01 8.123290e-01 2.528868e-01 4.538149e-01 1.216961e+00 7.284184e-01
5.803106e-01 1.625133e+00 1.779484e+00 1.247676e+00 1.378736e+00 5.020464e-01 3.902624e-01 2.349521e-01 2.543029e-01 3.514894e-01 1.247890e+00 5.671277e-03 1.261847e-01 6.562726e-01 8.663621e-01
1.501673e+00 7.977169e-01 1.057309e+00 4.590518e-01 1.831708e+00 2.218120e-01 5.750983e-01 2.922819e-01 7.632016e-01 9.236037e-01 8.775336e-01 5.033185e-01 1.160584e+00 9.785221e-01 1.853471e+00
1.236761e+00 6.843611e-01 9.023345e-01 9.480981e-01 4.882007e-01 6.475635e-01 9.667885e-01 9.852688e-01 9.909971e-01 4.970456e-01 3.209022e-02 1.998472e+00 4.703525e-01 1.832221e+00 1.662410e+00
1.484900e+00 1.080109e+00 1.985364e+00 1.028211e+00 1.353841e+00 7.776354e-01 7.322782e-01 1.947326e-01 9.345849e-01 9.624333e-01 1.025152e+00 1.222270e+00 1.212268e+00 1.969968e+00 4.893059e-01
5.967105e-01 3.025578e-01 1.143417e+00 7.469768e-01 1.940099e+00 4.820123e-01 2.766960e-01 6.255381e-01 7.010616e-01 8.855613e-01 1.723278e+00 1.902629e+00 8.700713e-02 1.851811e-01 8.737831e-01
1.339743e+00 9.648031e-01 1.330173e+00 1.073689e+00 7.241112e-01 6.597831e-01 4.894824e-01 2.561499e-01 2.101545e-01 5.510834e-01 1.105299e+00 8.879689e-01 8.975152e-01 8.706390e-01 4.491630e-02
1.299892e+00 5.686648e-01 4.709433e-01 1.252551e+00 1.722673e+00 5.582039e-01 9.457177e-01 7.943945e-01 6.073120e-01 5.512335e-01 5.917284e-01 1.384023e-01 1.582781e+00 7.403185e-01 1.337903e+00
1.547627e+00 7.301395e-01 2.112586e-01 1.909574e+00 1.812128e+00 3.697026e-01 5.408740e-01 9.003525e-02 5.943155e-01 5.986956e-01 2.354365e-01 1.257274e+00 7.164129e-01 1.178296e+00 1.549131e+00
1.436600e+00 1.466445e+00 8.127479e-01 1.895310e+00 1.139104e+00 8.189702e-02 1.589248e-01 5.149392e-02 5.420457e-02 5.624966e-01 5.723236e-01 9.208202e-01 1.066269e+00 5.471219e-01 1.488294e+00
6.663933e-01 1.332949e+00 1.662124e+00 7.804258e-01 1.298700e+00 3.739331e-01 4.229722e-01 5.987574e-01 3.327891e-01 1.037547e-01 2.484453e-02 1.698525e+00 4.488046e-02 2.809289e-01 6.736837e-01
1.120531e+00 2.145522e-01 8.929585e-01 9.348746e-01 1.760436e+00 9.169626e-01 8.521846e-01 7.158922e-01 2.743715e-01 2.732393e-01 1.991121e+00 1.638292e+00 6.251732e-01 1.670552e-01 5.294772e-01
1.477414e+00 3.615682e-01 1.899886e+00 5.740329e-01 8.177644e-01 3.200475e-01 7.869800e-01 3.682957e-01 9.468741e-01 2.532782e-01 1.427471e+00 1.523757e-01 2.381917e-01 8.611515e-01 1.816565e+00
3.943881e-01 4.802588e-01 1.805798e+00 1.003894e+00 1.530099e+00 4.164999e-01 5.473576e-01 9.542796e-01 4.582918e-01 7.257222e-02 1.437539e+00 1.180795e+00 1.035966e+00 1.338071e+00 1.463981e+00
1.154468e+00 1.446412e+00 1.848490e+00 1.825599e+00 1.779148e+00 1.426789e-01 9.642730e-01 1.779433e-01 8.132183e-01 2.675162e-01 1.964901e+00 9.856102e-01 4.336267e-01 8.424593e-01 1.959634e+00
1.056772e+00 5.523576e-01 8.484801e-01 3.921296e-01 1.057669e+00 6.791675e-01 1.885949e-01 8.503658e-01 8.077779e-01 6.076167e-01 1.224091e+00 9.126655e-01 1.020660e-01 3.601618e-01 5.799451e-01
1.384117e+00 3.091884e-01 1.742281e+00 1.199330e+00 6.224103e-01 5.635614e-01 7.059678e-01 9.162507e-02 5.910562e-01 3.133795e-01 1.032694e+00 1.135989e+00 4.139225e-01 1.985321e+00 2.072909e-02
1.984502e+00 1.394013e+00 7.030729e-01 1.731541e+00 1.725902e+00 7.935970e-01 3.132241e-01 6.446793e-01 1.708379e-01 9.166084e-01 7.733909e-02 7.017021e-02 4.838701e-03 1.010898e+00 1.681406e+00
6.885814e-01 1.799683e+00 1.089627e+00 6.169593e-01 1.417296e+00 5.243783e-01 6.038922e-01 3.362458e-01 4.975399e-01 9.255426e-01 6.648615e-01 8.615574e-01 1.831884e+00 1.032683e+00 1.492123e+00
2.320922e-01 2.684009e-01 7.947967e-01 1.639716e+00 1.719445e+00 8.118322e-01 8.281057e-01 7.635533e-01 4.627768e-01 4.995297e-01 1.654984e+00 9.621142e-01 1.522057e+00 1.729390e+00 1.591904e+00
2.212222e-01 1.519687e+00 5.781201e-01 1.442385e+00 1.465231e+00 3.249571e-01 7.853128e-01 5.544621e-02 1.993895e-01 4.421726e-01 2.293829e-01 7.090164e-01 1.244236e-01 9.954290e-01 8.846873e-01
5.535044e-01 1.279479e+00 6.929955e-01 1.093033e+00 1.395633e+00 6.713379e-01 1.026304e-01 4.654119e-01 9.148034e-01 6.737756e-01 1.788984e+00 5.422066e-01 1.808786e+00 4.570593e-01 2.601256e-01
4.944043e-01 1.405691e+00 2.816746e-01 1.824258e+00 1.485466e+00 8.266872e-01 6.005077e-01 4.879362e-01 2.325921e-01 1.678796e-01 7.413308e-02 1.391191e+00 1.354834e+00 6.221635e-01 1.674482e+00
1.527129e+00 3.041992e-01 5.478261e-01 1.077742e+00 1.741065e+00 2.887693e-01 3.246513e-01 2.848772e-01 6.603988e-01 7.937834e-01 7.549152e-01 1.186173e+00 5.716079e-02 3.282597e-01 9.104243e-01
5.638516e-01 1.826486e+00 8.366438e-01 1.259549e+00 4.735740e-01 4.702817e-01 9.099758e-01 3.387204e-01 3.597035e-01 8.704481e-01 4.939479e-01 6.162723e-01 1.384314e+00 8.682924e-02 3.146877e-01
1.033494e+00 9.713893e-01 6.826291e-01 2.663651e-01 1.905514e+00 2.054561e-01 2.987568e-01 2.443864e-01 6.851522e-01 6.381898e-01 1.075377e+00 1.023920e+00 1.989886e+00 1.142406e+00 9.960648e-02
1.127750e+00 9.102273e-01 9.781977e-01 1.678159e+00 1.032178e+00 8.510794e-01 8.845020e-01 6.239558e-01 3.273601e-01 9.394477e-01 1.485288e+00 1.759649e+00 1.782911e+00 1.532618e+00 8.774114e-01
9.511199e-01 2.299719e-01 1.366946e+00 1.819337e+00 1.950909e+00 6.023238e-01 6.730660e-01 1.983645e-01 6.055164e-01 1.109264e-01 1.394515e+00 7.929341e-01 7.405865e-01 1.109120e+00 2.208710e-01
1.622708e+00 3.908362e-01 1.863024e+00 8.723137e-01 1.890966e+00 7.260017e-01 8.592693e-01 3.343262e-01 6.578639e-01 2.104951e-01 1.379258e+00 1.097520e+00 9.663187e-01 1.884132e+00 1.225957e+00
6.219074e-01 1.387049e+00 1.810878e+00 1.384877e+00 4.482031e-01 4.782068e-01 5.417170e-01 9.922298e-02 7.521818e-01 2.828490e-01 7.879093e-01 9.661228e-01 9.524732e-01 9.081868e-01 1.521297e+00
1.614406e+00 4.097232e-01 2.075190e-01 9.561145e-01 1.428553e+00 8.142154e-01 6.479697e-01 3.180648e-01 3.039070e-01 1.870929e-01 1.944168e+00 1.549149e+00 1.812247e+00 1.394951e+00 6.924459e-02
1.551625e+00 7.544421e-01 2.377359e-01 1.025715e+00 1.962188e+00 8.974986e-01 8.992547e-01 9.702194e-01 6.836505e-01 2.051561e-01 9.097118e-01 4.728693e-01 3.324990e-01 5.820056e-01 1.357704e+00
8.639918e-01 1.778567e+00 3.338887e-01 2.989110e-01 1.421971e+00 1.688076e-01 9.206508e-02 2.365079e-01 5.085648e-01 1.557953e-01 1.112747e+00 1.245507e+00 1.158385e+00 7.750617e-01 1.094374e+00
1.446167e+00 2.650954e-01 1.222371e+00 6.811111e-01 1.193348e+00 5.727386e-01 2.917016e-01 6.123151e-01 2.895424e-01 1.226681e-01 1.390951e-01 6.794164e-02 3.636727e-02 3.393488e-01 1.158773e+00
2.630093e-01 6.449913e-01 2.274679e-01 1.640003e+00 2.533769e-01 6.544389e-01 8.215440e-01 8.254726e-01 4.331401e-01 4.231382e-01 4.574202e-01 1.772043e+00 9.324582e-01 8.937294e-01 1.949839e+00
1.708230e+00 1.966994e+00 1.644675e+00 9.066435e-01 1.822097e+00 3.493900e-01 6.101578e-01 8.328484e-01 4.786980e-01 1.823778e-01 1.716850e+00 1.332318e+00 7.000435e-01 1.397125e+00 1.473307e+00
1.755741e+00 1.096180e+00 2.255051e-01 1.532264e+00 1.340864e+00 2.927152e-01 5.304661e-02 9.340592e-01 3.684337e-01 4.740034e-01 3.369785e-01 1.191746e+00 1.588644e+00 1.541499e+00 2.908502e-01
4.762751e-01 7.929050e-01 1.921961e+00 5.323660e-01 1.125146e+00 7.107238e-02 7.258207e-01 3.491932e-01 3.129374e-01 2.974594e-01 4.461698e-01 1.400917e+00 5.529259e-01 8.677990e-01 1.007735e+00
1.065295e+00 6.616154e-01 6.485193e-01 1.425639e+00 1.983501e+00 6.651216e-01 4.122555e-01 6.880104e-01 8.398683e-01 4.709034e-01 3.656546e-01 1.358527e+00 1.435993e+00 1.890062e+00 1.903696e+00
1.603833e+00 2.339371e-01 2.435303e-01 3.362425e-01 1.175605e+00 5.151258e-01 5.338533e-01 7.402951e-01 9.040023e-01 7.518619e-02 6.497810e-01 1.939931e+00 5.191292e-01 1.900010e+00 8.267895e-01
3.226881e-01 8.003888e-01 8.236225e-01 1.611843e+00 8.424328e-01 5.301407e-01 6.789450e-01 6.740198e-01 3.841123e-01 9.687203e-01 1.160063e-01 6.851592e-01 1.872733e+00 1.336262e-01 6.549989e-01
1.017714e+00 1.093983e+00 1.792738e+00 1.241021e+00 1.604714e+00 1.967842e-01 7.728802e-01 6.137083e-02 7.137424e-01 6.932434e-01 2.244521e-01 8.280693e-01 1.193098e+00 7.074028e-01 6.210863e-01
1.207839e+00 7.402848e-01 6.880693e-01 1.781223e+00 2.076075e-01 2.651322e-01 3.814372e-01 3.969778e-01 4.684691e-01 6.139969e-01 3.959377e-01 3.522623e-01 1.891320e+00 1.998171e+00 7.946332e-01
6.939324e-01 1.106767e+00 1.190555e+00 6.441393e-01 1.343965e+00 5.083627e-01 7.781994e-01 3.216289e-01 9.937100e-01 3.023954e-01 4.258214e-01 1.218111e+00 1.273146e+00 4.607844e-01 1.447450e+00
4.461924e-01 1.630710e+00 8.941250e-01 8.880172e-01 8.897787e-01 9.270458e-01 2.094585e-01 8.897968e-01 4.235164e-01 5.924763e-01 6.920948e-01 8.684408e-01 1.360621e+00 4.697409e-01 1.774224e+00
1.634254e+00 4.709219e-01 1.380838e+00 1.919799e+00 4.095842e-01 6.340150e-01 2.896236e-01 7.316112e-01 6.237812e-02 6.332173e-01 1.328949e+00 1.765041e+00 4.568526e-01 1.840735e+00 1.252664e+00
9.191235e-01 1.438117e+00 1.300755e+00 1.496916e+00 3.729807e-01 6.841633e-01 6.284760e-01 7.779766e-01 6.511855e-01 9.709430e-01 5.761072e-01 1.664230e+00 6.962598e-01 2.257056e-01 1.907753e+00
1.857220e+00 4.628473e-01 6.561098e-01 1.321396e+00 1.260101e+00 4.210272e-01 1.975566e-01 1.568810e-01 1.812810e-01 6.414455e-01 8.502805e-01 1.925971e+00 1.104808e+00 8.571516e-01 3.785359e-01
1.507820e+00 2.878378e-01 1.209961e+00 6.992495e-01 1.011064e+00 9.261478e-01 9.079535e-01 4.988042e-01 3.167621e-01 2.151830e-01 1.314656e+00 1.924091e+00 9.094022e-01 1.357441e+00 1.126204e-01
1.247613e+00 1.812694e+00 5.073211e-01 2.790179e-01 4.149132e-01 5.903360e-01 6.367038e-01 9.941817e-01 5.575594e-01 8.448289e-01 1.849776e+00 1.149466e+00 7.534164e-01 1.772615e+00 1.722424e-01
1.801497e+00 1.709678e+00 9.322748e-01 1.180193e+00 8.485017e-01 7.701200e-01 4.592036e-01 4.681544e-01 9.095396e-01 7.911509e-01 7.770917e-01 1.494270e-01 5.959100e-01 1.103276e+00 7.205938e-01
1.653076e+00 1.742036e+00 4.018031e-01 7.273525e-01 5.870347e-01 1.371623e-01 5.348606e-01 2.289441e-01 3.617095e-01 5.154311e-01 1.317412e+00 1.983429e+00 1.785779e+00 6.926924e-02 1.533636e-01
1.392068e+00 1.261068e+00 1.709025e+00 9.778871e-01 9.659271e-01 4.450062e-01 7.644357e-01 3.325272e-01 8.659742e-01 6.650267e-01 1.858532e+00 3.684987e-01 1.915446e-01 1.084910e+00 1.324800e+00
1.248939e+00 1.685232e+00 1.972102e+00 5.523426e-01 1.250763e+00 4.907743e-01 4.056779e-01 6.397867e-01 2.369748e-01 5.888427e-01 1.518693e+00 1.914978e+00 6.810444e-01 1.562238e+00 1.447131e-01
6.021938e-01 2.242177e-01 1.438387e+00 1.219790e+00 1.625828e+00 3.051122e-01 2.287674e-01 4.170695e-01 1.432258e-01 7.362184e-01 2.032266e-01 7.301436e-01 1.231105e+00 1.312293e+00 1.570235e+00
1.003054e+00 3.242865e-01 1.158387e+00 1.685974e+00 1.452529e+00 9.028161e-01 2.460739e-01 4.949016e-01 6.116593e-01 7.866165e-01 1.893204e+00 1.044218e+00 1.992634e+00 5.261707e-01 2.718356e-02
1.765513e+00 1.419594e+00 4.671027e-01 3.958078e-01 5.468937e-01 5.750269e-01 6.962839e-02 7.069549e-01 6.411264e-01 7.622976e-01 1.087661e+00 7.780931e-01 9.930259e-01 7.484931e-01 6.329786e-01
1.497887e+00 1.752271e+00 1.998476e+00 5.948903e-01 2.674395e-01 3.727944e-01 9.264234e-01 5.142803e-01 6.977738e-01 6.706365e-01 1.176496e+00 5.547515e-01 9.177723e-01 1.275685e-01 1.580494e+00
1.911192e+00 1.791384e+00 1.944210e+00 6.057944e-01 1.899571e+00 2.135629e-01 2.646529e-01 1.267815e-01 2.385233e-01 7.681241e-01 1.546103e+00 6.645779e-01 3.991053e-01 1.917257e+00 1.035532e-01
1.640089e+00 1.142683e+00 1.266870e+00 1.239339e+00 1.555774e+00 7.445879e-01 5.052184e-01 4.207261e-01 8.229410e-01 2.923854e-01 9.139436e-01 1.130453e+00 1.201886e+00 1.611704e+00 4.321668e-01
1.794299e+00 2.380174e-01 1.584136e+00 1.724820e+00 1.335025e+00 6.229455e-01 6.356442e-01 5.019221e-01 7.586681e-01 8.169155e-01 1.780716e-01 8.829938e-01 4.152180e-01 1.782353e+00 1.665649e+00
9.100133e-01 6.641627e-01 6.187098e-01 1.715165e+00 1.114175e+00 6.820663e-01 3.149581e-01 7.259742e-01 5.331988e-01 5.313360e-01 3.234361e-01 1.607217e+00 1.681079e+00 9.631078e-01 3.710632e-01
1.991091e+00 1.239798e+00 1.822185e+00 2.573918e-01 1.838502e+00 1.353993e-01 3.668864e-01 1.462218e-01 2.062992e-01 3.941986e-01 2.062956e-01 3.213824e-01 4.213476e-01 7.041232e-01 1.575092e+00
8.397425e-01 9.320644e-01 1.178917e+00 1.434279e+00 2.617354e-01 9.894084e-01 7.358638e-01 2.790540e-01 9.173515e-01 5.249922e-01 1.594947e+00 1.500870e+00 4.253387e-01 4.179664e-01 4.615054e-02
1.974399e+00 1.738658e+00 1.558784e+00 1.986917e+00 8.080207e-01 1.782683e-01 9.072697e-01 3.838583e-01 8.184845e-01 5.885319e-02 2.881408e-01 1.840443e+00 2.526930e-02 2.537089e-01 1.793503e+00
2.023940e-01 9.865657e-01 1.492320e+00 4.309642e-01 1.476558e+00 7.354858e-01 4.515634e-01 4.926406e-01 5.805114e-01 6.689432e-01 9.950043e-01 1.125524e+00 1.750300e+00 6.120017e-01 4.774669e-01
1.272634e+00 6.275965e-01 5.377187e-01 1.595597e+00 4.358096e-01 5.054242e-01 9.646467e-01 6.544832e-01 8.923408e-01 7.591498e-01 1.311706e-02 4.736669e-02 1.920553e+00 1.712894e+00 1.696169e+00
1.234472e+00 7.221754e-01 5.628215e-01 3.995050e-01 5.583237e-01 1.932219e-01 5.789361e-01 4.551104e-01 6.379776e-01 1.311415e-01 9.559050e-01 8.211482e-01 1.267514e+00 1.554551e+00 7.462638e-01
1.334934e+00 1.565807e+00 5.343948e-01 1.368953e+00 4.221551e-01 7.197024e-01 3.202163e-01 9.874480e-01 4.419115e-01 3.598496e-01 1.141604e+00 1.895934e+00 9.871808e-01 2.723784e-01 1.232367e+00
1.867527e+00 1.845080e+00 1.588476e+00 1.415771e+00 1.064527e+00 5.964007e-02 5.617965e-01 6.294139e-01 6.266170e-01 9.111361e-01 6.670411e-01 1.778775e+00 1.549335e+00 1.865806e+00 2.586665e-01
1.144000e+00 1.350229e+00 1.173150e+00 1.469334e+00 3.485017e-01 8.743903e-01 3.376921e-01 4.804094e-01 1.131106e-01 7.445345e-01 2.022728e-04 1.815178e+00 1.798704e+00 1.673849e+00 2.548919e-01
1.441683e+00 3.839421e-01 1.242607e+00 8.561348e-01 1.922754e+00 8.826841e-01 3.999186e-01 3.301929e-01 2.695116e-01 3.988285e-01 1.160199e+00 1.484704e+00 3.067781e-01 8.478739e-01 3.924937e-01
5.369307e-01 1.518040e+00 8.800662e-01 1.891696e+00 1.099220e+00 1.769734e-01 8.419900e-01 9.215898e-01 9.098703e-01 8.894757e-01 1.957347e+00 1.206384e+00 1.340539e+00 5.115137e-01 1.187216e+00
8.126098e-01 1.891952e+00 1.417303e+00 3.098466e-01 4.840857e-01 4.237528e-01 1.726816e-01 2.015415e-01 6.723917e-01 1.356239e-01 1.343612e+00 1.230071e+00 1.827858e+00 1.181009e+00 9.968958e-01
1.630063e+00 1.664001e+00 3.609719e-01 4.439685e-01 9.977386e-01 4.839039e-01 6.493624e-01 3.913232e-01 3.750530e-01 6.395120e-01 1.622589e+00 1.650856e+00 4.798100e-01 1.091252e+00 7.641077e-01
7.925391e-01 1.003108e+00 1.378515e+00 1.054483e+00 8.590493e-01 4.132062e-01 4.217066e-01 5.251623e-01 3.411503e-01 8.113081e-01 1.215905e+00 1.642844e+00 1.541835e+00 5.441144e-01 1.278807e-01
4.988972e-01 1.972971e+00 5.524753e-01 9.787562e-01 1.959216e+00 7.930434e-01 6.455065e-01 5.007278e-01 5.497846e-01 3.557530e-01 9.302468e-01 7.439000e-01 1.424822e+00 1.378215e+00 1.874579e+00
1.689615e+00 1.328152e+00 1.754969e+00 4.985614e-01 1.979152e+00 6.407257e-01 1.870109e-01 9.302018e-01 2.040838e-01 5.295134e-01 1.208052e+00 3.423324e-01 2.722717e-01 3.476125e-01 2.727411e-01
3.627559e-01 8.167585e-01 1.126789e+00 1.765124e+00 6.480114e-01 1.979372e-01 7.203666e-01 4.590930e-01 5.616872e-01 9.820021e-01 9.730290e-01 7.586075e-01 1.131283e+00 1.275948e+00 9.559946e-01
8.693726e-01 5.235930e-01 1.136623e+00 2.437911e-01 5.195365e-01 4.069710e-01 2.048642e-01 2.192001e-01 2.994293e-01 7.546282e-01 1.680861e+00 4.496738e-01 1.408123e+00 1.048934e+00 8.855256e-01
1.460378e+00 1.251275e+00 6.312360e-01 1.044929e+00 5.242670e-01 9.554810e-02 5.928636e-01 5.115423e-01 6.880937e-01 5.026816e-02 1.712715e+00 1.417847e+00 7.342063e-01 6.874676e-01 5.676902e-01
4.174069e-01 4.753717e-01 6.352973e-01 1.066164e+00 1.634321e+00 6.909548e-01 5.317780e-01 6.682628e-01 6.331113e-01 3.454748e-01 1.978661e+00 1.303448e+00 1.725508e+00 5.964573e-01 5.359533e-01
1.416148e+00 4.535648e-01 4.248472e-01 3.336673e-01 1.106808e+00 9.303575e-01 1.069218e-01 7.824485e-01 5.360098e-01 4.640584e-01 5.349223e-01 2.375825e-01 8.845663e-01 6.533532e-01 4.584927e-01
1.224857e+00 1.494099e+00 6.971985e-01 1.204869e+00 1.806795e+00 5.596175e-01 6.867851e-01 5.690106e-01 5.452418e-01 3.634896e-01 5.893552e-01 1.045007e+00 2.919704e-01 1.134499e-01 1.343915e+00
1.313116e+00 4.459374e-01 1.408049e+00 1.666394e+00 1.746753e+00 2.140416e-01 8.473703e-01 8.403771e-01 6.709974e-02 4.208500e-01 1.885514e+00 1.868951e+00 1.121972e+00 1.910833e+00 1.838887e+00
2.858923e-01 5.258483e-01 1.840454e+00 1.373546e+00 1.235914e+00 7.098902e-01 9.911206e-01 6.209450e-01 5.045853e-01 1.346023e-01 8.303339e-01 2.973123e-01 1.938477e+00 1.199323e+00 1.570312e-01
9.666670e-01 8.828496e-01 1.511125e+00 3.212396e-01 1.882558e+00 7.390940e-01 6.396263e-01 4.371919e-01 5.743147e-01 7.119838e-01 1.146452e+00 5.156079e-01 3.191115e-01 1.796972e+00 1.042754e+00
1.240971e+00 1.817898e+00 1.271262e+00 1.355445e+00 3.349462e-01 1.105852e-01 5.143867e-01 5.171404e-01 5.595656e-01 2.210226e-01 1.864053e+00 1.453826e+00 1.655558e-01 1.926128e+00 1.776133e+00
4.012266e-01 1.869386e+00 1.431059e+00 4.867776e-01 1.158273e+00 1.638468e-01 4.820900e-01 2.115039e-01 7.165755e-01 2.483248e-01 1.445409e-01 1.915455e+00 6.421547e-01 1.514591e-01 8.225946e-01
1.843941e+00 1.958841e+00 5.167543e-01 1.654353e+00 1.694820e+00 1.197240e-01 7.180673e-01 8.942445e-01 6.717697e-01 1.470376e-01 3.097825e-01 3.779034e-01 1.743678e+00 6.746977e-01 1.054086e+00
4.866213e-01 1.181675e+00 1.412774e+00 1.957562e+00 1.372665e+00 5.830869e-01 2.212925e-01 5.954303e-01 1.800931e-01 4.924429e-01 7.410487e-01 1.738253e+00 1.737262e+00 9.722878e-01 1.978196e+00
1.471424e+00 1.388464e+00 1.769148e+00 1.869841e+00 1.400949e+00 1.021187e-01 8.178866e-01 8.660857e-01 1.171809e-01 6.357591e-01 6.126516e-01 6.976432e-01 1.519877e+00 1.023248e+00 1.518336e+00
1.202995e+00 6.808409e-01 1.578772e+00 1.941127e+00 1.246815e+00 1.813312e-01 5.376108e-01 4.343061e-01 4.830073e-01 4.480384e-01 8.560320e-01 6.100794e-01 1.303227e+00 1.592542e+00 1.634781e+00
1.490300e+00 1.548235e+00 1.060230e+00 7.615912e-01 1.833804e+00 3.479491e-01 5.888659e-01 2.517434e-01 2.217411e-01 4.868738e-01 3.122427e-01 4.146661e-01 1.700722e+00 1.584973e+00 6.464338e-01
1.848836e+00 6.543930e-01 1.247738e+00 6.704063e-01 1.510674e+00 5.924055e-01 8.733300e-01 8.166573e-02 9.558085e-01 1.541755e-01 1.598792e+00 1.959252e-01 1.950536e+00 1.228636e+00 1.723248e+00
1.952682e+00 1.416961e+00 5.777489e-01 1.972248e+00 6.935189e-01 5.948420e-01 1.205951e-01 4.435976e-01 2.156160e-01 9.792107e-01 8.042509e-01 5.978647e-01 3.121458e-01 1.559151e+00 1.974423e+00
1.997621e+00 1.123307e+00 7.410565e-01 1.778910e+00 9.802095e-01 5.473991e-01 4.642811e-01 1.256791e-01 7.218165e-01 4.258901e-01 2.922160e-01 5.842463e-01 1.092843e+00 5.667237e-01 7.966610e-01
2.939227e-01 1.158666e+00 4.772487e-01 8.991094e-01 1.735236e+00 6.199784e-01 5.607085e-02 6.980032e-01 9.195344e-01 9.945518e-01 1.807883e+00 1.201725e+00 1.602237e+00 1.424596e+00 9.452522e-01
1.010621e+00 1.112459e+00 1.403198e+00 1.458528e+00 4.455449e-01 7.881629e-01 3.486466e-01 2.893932e-01 7.893332e-01 5.605401e-01 2.979788e-01 4.822747e-01 5.392273e-01 1.133921e+00 7.147408e-02
1.871409e+00 1.208376e+00 3.831585e-01 1.136593e+00 1.481840e+00 4.942219e-01 3.160930e-01 8.872390e-01 1.560968e-01 5.064204e-01 1.434739e+00 1.588137e+00 8.030612e-01 6.437219e-01 8.064492e-01
8.279071e-01 1.579898e+00 1.730246e+00 8.617226e-01 1.791562e+00 6.736968e-01 3.607523e-01 6.836124e-01 5.927729e-01 8.336261e-01 1.866441e+00 1.113422e+00 5.946558e-01 1.804195e+00 9.764362e-01
